product_id,sku,product_name,cate_report,sub_cate_report,cf_orders
175154112,1613293357558,Bia TIGER thùng 24 lon x330ml -3005037,CG,TIKI-Ngon,3514
10863062,1390266245581,Miếng dán mụn Acnes Clear Patch (24 miếng),CG,Health - Beauty,2168
912727,2954306961948,Thùng Bia Tiger 24 Lon (330ml / Lon),CG,FMCG,2017
10862721,5440086254136,Dầu Gội Chống Gàu Selsun (100ml),CG,Health - Beauty,1557
176909486,1324098073598,Trứng Gà TikiNgon Choice hộp 6,CG,TIKI-Ngon,1494
165122933,9642236169457,[CRM] Dung dịch diệt khuẩn đa năng Dettol 500ml +Leaflet,CG,Health - Beauty,1282
76373086,6431418485648,Hạt nêm Massel 100% không bột ngọt 168gr - Vị Rau Củ (Mẫu mới),CG,FMCG,1189
100130014,4053787264987,Bộ sản phẩm chống nắng toàn diện và làm sạch La Roche-Posay Anthelios Dry Touch ,CG,Health - Beauty,1139
183554141,9751874797012,Combo 2 Sữa rửa mặt dành cho da mụn Senka Perfect Whip Acne Care 100g x 2,CG,Health - Beauty,1089
171564976,1026253831058,"Sữa chống nắng dưỡng da trắng mịn Sunplay Skin Aqua Clear White Limited Editon SPF 50+, PA++++ (25g)",CG,Health - Beauty,1054
196326,8934988020533,Dầu Đậu Nành Simply 1L / 2L / 5L - 1 Lít,CG,FMCG,1052
10240038,6178012862603,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp),CG,FMCG,1047
1380063,58934588873053,Thùng 24 Chai Trà Ô Long Tea+ Plus (455ml / Chai),CG,FMCG,1030
59504299,5251227016205,Dầu Ăn Thượng Hạng Nhãn Hiệu  Neptune Light - 2 Lít,CG,FMCG,963
33785196,7585668890871,Sữa rửa mặt hỗ trợ trị mụn Senka Perfect Whip Acne Care 100g,CG,Health - Beauty,920
157446330,1792177263922,Tương Ớt Chinsu (250g),CG,FMCG,909
10863053,2983274976203,Kem rửa mặt Vitamin Acnes Vitamin Cleanser 100g,CG,Health - Beauty,883
70662254,6291656111972,Kem Chống Nắng Không Màu Kiểm Soát Dầu La Roche-Posay Anthelios XL Dry Touch Gel-Cream SPF 50+ UVB & UVA (50ml),CG,Health - Beauty,882
146593024,2750169681359,Dầu Đậu Nành Simply (1L / Chai),CG,TIKI-Ngon,825
117294931,2778405663580,Tã quần Bobby Mega Jumbo L014 - Lõi nén thần kì 3mm - Siêu mỏng khô thoáng bất ngờ,CG,Mom - Baby,767
184476363,4353949082267,Combo 2 Sữa Rửa Mặt Tạo Bọt Chiết Xuất Đất Sét Trắng Senka Perfect White Clay 120g x 2,CG,Health - Beauty,762
153682914,2500089002950,Tã/bỉm quần Bobby Mega Jumbo XL92 - Lõi nén thần kì 3mm - Siêu mỏng khô thoáng bất ngờ,CG,Mom - Baby,746
118895419,9921028777183,Bộ 2 Chai Sữa Tắm Gội Toàn Thân Cho Bé Johnson's Baby Top To Toe 500mlx2,CG,Mom - Baby,726
196230,8934988031034,Dầu Ăn Cái Lân 1L / 2L / 5L - 1L,CG,FMCG,702
10862283,8038277783403,"Sữa Chống Nắng Sunplay Cực Mạnh Sunplay Super Block SPF 81, PA++++ (30g)",CG,Health - Beauty,701
58677648,2349429487015,Nước tẩy trang Loreal Micellar Water 3-in-1 Refreshing Even For Sensitive Skin,CG,Health - Beauty,696
54058504,9295648863495,Kem Rửa Mặt Dưỡng Trắng Hada Labo Perfect White Cleanser 80g,CG,Health - Beauty,682
22254661,6574261437195,"Combo Dầu Gội, Dầu Xả TRESEMME Keratin Smooth Dưỡng tóc khô xơ rối Công thức chuẩn salon Hydrolyzed Keratin trong Dầu Gội và dầu Xả dưỡng Tóc Vào Nếp Suôn Mượt 640g, 620g",CG,Health - Beauty,672
53522520,7079388481155,Bộ Ba Chăm Sóc Tóc Phục Hồi Ngăn Rụng Tóc TSUBAKI Gội Xả (490ml/chai) + Mặt Nạ Tóc Cao Cấp Phục Hồi Hư Tổn 180g,CG,Health - Beauty,643
182551032,2400580517028,Cherry Đỏ Hộp 250g,CG,TIKI-Ngon,628
170444485,4842693596135,Combo 2 Sữa rửa mặt sạch hoàn hảo ẩm mịn tự nhiên với bọt tơ tằm trắng Senka Perfect Whip 120g số 1 Nhật Bản,CG,Health - Beauty,622
187598436,5483759362511,Combo 5 Dừa Trọc Xiêm Xanh CocoMeko Size (300-350g/trái),CG,TIKI-Ngon,597
82721612,9556118534806,Máy Tăm Nước Không Dây Lock&Lock Cordless Oral Irrigator ENR156BLU - Màu Xanh Da Trời,CG,Health - Beauty,589
169262898,6932277282601,Thùng 24 lon bia SAIGON SPECIAL - 330ml - Mới,CG,TIKI-Ngon,586
116410120,8247216513760,TúI Nước Giặt Omo Matic Comfort Cho Máy Giặt Cửa Trước Hương Lavender Khử Mùi Thư Thái 3.6Kg,CG,Mom - Baby,586
25108218,6390910677398,Kem rửa mặt ngăn ngừa mụn Acnes Creamy Wash (100g),CG,Health - Beauty,574
76277278,8178420611501,Son Ofélia x Miracle Apo Flawsome Glow Lip (2g) - 17,CG,Health - Beauty,569
52215447,6755814230504,Thùng 24 lon Tiger Crystal lon cao mới (330ml/lon),CG,FMCG,565
26044144,1545845571494,Thùng 24 Lon Cà Phê Sữa Highlands Coffee (235ml/Lon),CG,FMCG,556
141096,8886451071361,Sữa Bột Abbott Ensure Gold Vani 850g,CG,Mom - Baby,547
59504297,9156550307418,Dầu Ăn Thượng Hạng Nhãn Hiệu Neptune Light - 1 Lít,CG,FMCG,535
53507456,2329963882989,Bộ Đôi TSUBAKI Phục Hồi Ngăn Rụng Tóc (490ml/chai),CG,Health - Beauty,534
103044663,4120374421844,"HCM - Sườn non heo (500g) - Thích hợp với các món nướng, hầm, rang, xào chua ngọt - [Giao nhanh TPHCM]",CG,TIKI-Ngon,527
116410111,9219973982506,TúI Nước Giặt Omo Matic Cho Máy Giặt Cửa Trên Xoáy Bay Vết Bẩn Sạch Bẩn Khử Mùi Toàn Diện 3.9Kg,CG,Mom - Baby,515
134289945,2049837688752,Lốc 4 lon Bia Tuyết - Edelweiss 330ml/lon,CG,FMCG,511
167687048,8881587439725,Tã quần Huggies Dry Tràm Trà Tự Nhiên MEGA JUMBO - XL96,CG,Mom - Baby,505
2600531,4809322272388,Thùng 48 Hộp Sữa Chua Lên Men Tự Nhiên Yomost Vị Cam (170ml/Hộp),CG,FMCG,488
164465351,5544362149232,Mì Hảo Hảo Tôm Chua Cay 75g,CG,TIKI-Ngon,486
10862722,4966950436794,Giấy Thấm Dầu Acnes Oil Remover Paper (100 Tờ),CG,Health - Beauty,480
159249108,8917865429030,Tương Ớt Chinsu 250g,CG,TIKI-Ngon,473
146592934,6667308438214,Lốc 4 hộp Sữa Nestlé MILO Nước 180ml,CG,TIKI-Ngon,470
2895735,1286395737366,Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,CG,Health - Beauty,441
114771869,6443028234985,Nước Giặt Dưỡng Vải Comfort Đa Chức Năng Hương Thời Thượng Giúp Quần Áo Sạch Thơm &amp; Tươi Màu Túi 3.6Kg,CG,Mom - Baby,430
2895731,6134570561341,Sữa Rửa Mặt Mịn Và Săn Chắc Da Senka Perfect Whip Collagen In 120G - [4901872462087],CG,Health - Beauty,424
161409500,8149036095138,Thùng 48 hộp sữa tươi tiệt trùng ít đường TH True Milk 180ml (180ml x 48),CG,FMCG,408
176060006,7946577819002,"Trà gừng làm ấm cơ thể, giảm đầy hơi, khó tiêu, giảm cảm lạnh - Hộp 10 gói x 3g Đ.Y",CG,FMCG,397
116410160,5951598679828,Túi Nước Giặt Omo Matic Cho Máy Giặt Cửa Trước Bền Đẹp Bền Màu Sau 100 Lần Giặt 3.6Kg,CG,Mom - Baby,396
58744961,1045968481996,Nước tẩy trang L'Oreal Paris 3-in-1 Micellar Water 400ml,CG,Health - Beauty,394
43210451,1395757061688,Sữa tắm gội toàn thân Johnson's Baby (500ml),CG,Mom - Baby,392
160579458,1824097000287,Lon Nước Tăng Lực Red Bull (250ml),CG,TIKI-Ngon,391
111304925,2989375709780,"TúI Nước Giặt Omo Matic Cho Quần Áo Bé Yêu Chiết Xuất Tràm Trà Và Nha Đam Dịu Nhẹ, Sạsh Khuẩn 3.6Kg",CG,Mom - Baby,385
64403410,4107449494851,Bộ 2 chai sữa tắm Johnson's Baby cho bé Milk Oat + Milk Rice - Dung Tích 1000mlx2,CG,Mom - Baby,383
100989177,5435284312031,Nước Xả Làm Mềm Vải Comfort Chăm Sóc Dịu Nhẹ Cho Da Nhạy Cảm 3.8L,CG,Mom - Baby,379
170445181,7968548223422,Combo 2 Nước tẩy trang SENKA A.L.L. CLEAR WATER Micellar Formula White 230ml x 2,CG,Health - Beauty,379
116410108,7875781512617,"TúI Nước Giặt Omo Matic Comfort Cho Máy Giặt Cửa Trên Hương Tinh Dầu Thơm Xoáy Bay Vết Bẩn, Hương Thơm Bền Lâu 3.6Kg",CG,Mom - Baby,379
156506116,9448694159096,Nước mắm Nam Ngư 3 in1 750ml,CG,TIKI-Ngon,378
173386971,2097234097973,Cải Thìa 4KFarm 300g,CG,TIKI-Ngon,371
184476148,7017203037570,Combo 2 Sữa Rửa Mặt Ẩm Mịn Và Săn Chắc Da Senka Perfect Whip Collagen In 120g x 2,CG,Health - Beauty,370
3149433,6625663968364,Sữa Rửa Mặt Tạo Bọt Chiết Xuất Đất Sét Trắng Senka Perfect White Clay New 14840 (120g),CG,Health - Beauty,368
196328,8934988020557,Dầu Đậu Nành Simply 1L / 2L / 5L - 5 Lít,CG,FMCG,364
174593318,4588649682075,Ức Fillet Gà CP 500g,CG,TIKI-Ngon,349
46255944,1187112343719,Bộ Đôi Nước Súc Miệng Hương Bạc Hà Listerine Cool Mint (750ml/ Chai) - 8850007800071,CG,Health - Beauty,343
76277270,6762577651033,Son Ofélia x Miracle Apo Flawsome Glow Lip (2g) - Cherry On Top,CG,Health - Beauty,342
66640236,7825538462099,"Combo Dầu Gội, Kem Xả Dove Phục Hồi Tóc Phục Hồi Hư Tổn Công Nghệ Định Vị Hư Tổn Giúp Tóc Suôn Mượt, Khỏe Đẹp 320G",CG,Health - Beauty,341
116407259,8383155365960,Combo 2 TúI Nước Giặt Omo Matic Cho Máy Giặt Cửa Trước Bền Đẹp Bền Màu Sau 100 Lần Giặt 3.6Kg,CG,Mom - Baby,341
161409469,5588187937234,Thùng 48 hộp sữa tươi tiệt trùng ít đường TH True Milk 110ml (110ml x 48),CG,FMCG,339
103046030,2852884054874,"HCM - Sườn sụn heo (500g) - Thích hợp với các món cháo, hầm, súp,... - [Giao nhanh TPHCM]",CG,TIKI-Ngon,339
161409482,8914496613139,Thùng 48 bịch sữa tươi sạch ít đường TH True Milk bịch giấy 220ml (220ml x 48),CG,FMCG,333
179377380,1394277103046,"Bánh ống gạo lứt GUfoods - Giòn tan, Dễ tiêu hóa, Thực dưỡng, Eatclean - Vị Mè - Gói 7g",CG,FMCG,331
90597914,7706367564299,Bao cao su Durex Performa 12 bao,CG,Health - Beauty,328
143002152,4888430604464,"Hạt Nêm Cho Bé Massel Úc 100% Từ Rau Củ Và Thảo Mộc - Dùng Nấu Ăn Dặm Cho Bé, Món Chay, Món Mặn Cho Cả Gia Đình Giúp Món Ăn Thơm Ngon, Tiện Lợi, Bảo Vệ Sức Khỏe – 168g - Vị Rau Củ",CG,FMCG,328
159010361,1474657451638,Nho Xanh Không Hạt 500g,CG,TIKI-Ngon,328
149396876,5250145181649,Thùng 24 Lon Bia Saigon Chill 330ml,CG,TIKI-Ngon,327
109793243,8698634501154,"HCM - Chả cá Nha Trang (200g) - Thích hợp với các món chiên, bún cá, rim cà chua, bánh mì chả cá,... - [Giao nhanh TPHCM]",CG,TIKI-Ngon,327
178032406,9469326157453,Cà Rốt Đà Lạt GlobalGAP 500g,CG,TIKI-Ngon,325
10861844,6661039031386,"Sữa Chống Nắng Cực Mạnh Sunplay Super Block SPF81, PA++++ (70g)",CG,Health - Beauty,325
90096581,9248667531306,Bao cao su Durex Invisible Extra Thin Extra Sensitive 1 Hộp 10 Bao,CG,Health - Beauty,323
12629697,8381105057468,Thùng Sữa đậu nành Fami nguyên chất (200ml x 36 Hộp),CG,FMCG,321
912711,4529057523301,Thùng Bia Heineken 24 Lon Cao Sleek (330ml / Lon),CG,FMCG,316
75524212,7324211454593,Sữa Bột Nestlé NAN OPTIPRO HM-O 2 900g,CG,Mom - Baby,314
150227678,3686593599930,Chai Nước Tăng Lực Sting Đỏ Dâu (330ml/Chai),CG,TIKI-Ngon,310
75343606,6104370593095,Combo Anessa chống nắng gia đình,CG,Health - Beauty,309
158399594,7871981425759,"[CHÍNH HÃNG] Một thùng 300 CÁI khẩu trang 4 lớp KF94 kháng khuẩn, chống bụi mịn, công nghệ 4D Hàn Quốc",CG,Health - Beauty,309
41356465,9255109367870,Nước Rửa Chén Bát Sunlight Thiên Nhiên Muối Khoáng &amp; Lô Hội 3.6kg,CG,Mom - Baby,308
12688146,9151646914976,Thùng 24 lon cao Heineken Silver (mới) (330ml/lon),CG,FMCG,308
