product_id,sku,product_name,cate_report,sub_cate_report,cf_orders
48537881,2976294170157,Ấm Siêu Tốc Inox SUNHOUSE HAPPY TIME HTD1055 (1.5L) - Hàng Chính Hãng,Home Appliances,Small Appliances,463
174128754,7414061603552,Máy hút bụi giường nệm không dây UV PerySmith XTREME V20 cầm tay hiện đại - Hàng chính hãng,Home Appliances,Small Appliances,384
102432144,3820258811262,Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 (1.8 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,306
10908329,6182681810216,Máy Vắt Cam Lock&amp;Lock EJJ231 (700ml) - Hàng chính hãng,Home Appliances,Small Appliances,298
173251737,7009446426738,"Quạt mini để bàn tiện lợi, không gây tiếng ồn, xoay linh hoạt 210 độ, Hàng chính hãng CameWell C201F - Bản USB",Home Appliances,Small Appliances,256
251421,1982445338209,Bếp Hồng Ngoại Sunhouse SHD6011 - Đen- hàng chính hãng,Home Appliances,Small Appliances,249
36626941,9850025198760,Nồi Chiên Không Dầu Điện Tử Lock&amp;Lock EJF357BLK (5.2 Lít) - Hàng Chính Hãng,Home Appliances,Small Appliances,222
4701561,4579418440440,Ấm Điện Thủy Tinh Siêu Tốc Có Điều Chỉnh Nhiệt Độ Lock&amp;Lock EJK341 (1.8L) - Hàng chính hãng,Home Appliances,Small Appliances,211
3480335,5187232673464,Bình Đun Siêu Tốc 2 lớp Lock&amp;Lock EJK738WHT (1.7L) - Trắng - Hàng chính hãng,Home Appliances,Small Appliances,205
54716579,8586879977756,Bình Đun Siêu Tốc 2 Lớp Lock&amp;Lock EJK738BLK (1.7L) - Đen - Hàng Chính Hãng,Home Appliances,Small Appliances,199
186272723,6309779457563,"Quạt mini để bàn tiện lợi, không gây tiếng ồn, xoay linh hoạt 210 độ, Hàng chính hãng CameWell C201F - Bản tích điện",Home Appliances,Small Appliances,164
22095572,6953844124873,Bàn Ủi Khô Nagakawa NAG1502 - Màu Ghi - Hàng Chính Hãng,Home Appliances,Small Appliances,145
93933236,2266304102030,Máy Xay Thịt 2 Lưỡi Kép Nonostyle (2L) - Hàng Chính Hãng,Home Appliances,Small Appliances,144
118137723,3065155885225,Bàn ủi hơi nước cầm tay Lock&amp;Lock ENI223WHT 1600W - Hàng chính hãng,Home Appliances,Small Appliances,142
72825414,3431546737575,Máy Hút Bụi Cầm Tay Không Dây Damas XC628 - Chính Hãng - Phiên bản Adaptor,Home Appliances,Small Appliances,139
79410099,3777881726652,Nồi Cơm Điện Lock&amp;Lock EJR716IVY 0.8L - Hàng Chính Hãng,Home Appliances,Small Appliances,136
71159587,8241884626036,Nồi Chiên Không Dầu Điện Tử Lock&amp;Lock EJF296BLK (7.2 Lít) - Kèm Chảo Nướng - Hàng Chính Hãng,Home Appliances,Small Appliances,135
186105245,9468417893769,Quạt cầm tay mini tích điện GAABOR GFH-N78A sạc USB di động tiện lợi - Hàng chính hãng,Home Appliances,Small Appliances,129
161017653,7560572071297,Máy Hút Bụi Cầm Tay Không Dây Sử Dụng Pin Sạc Damas Vacuum Cleaner D610 - Hàng Chính Hãng,Home Appliances,Small Appliances,126
72825416,3075138635674,Máy Hút Bụi Cầm Tay Không Dây Damas XC628 - Chính Hãng - Phiên bản USB,Home Appliances,Small Appliances,126
147903538,9773587108534,Bếp Từ Đơn Sunhouse SHD6803 (1800W) - Kèm Nồi Lẩu - Hàng Chính Hãng,Home Appliances,Small Appliances,125
