product_id,sku,product_name,cate_report,sub_cate_report,cf_orders
74021318,9653845109288,Cây Cam Ngọt Của Tôi,Lifestyle,Book & Office Supplies,1289
193981049,2061309281863,One Piece - Tập 100 :  Haki Bá vương - Limited Edition (Bản bìa cứng) [Postcard PVC Luffy],Lifestyle,Book & Office Supplies,1236
192124400,8535464488751,Blue Period Tập 2,Lifestyle,Book & Office Supplies,949
109017987,7255202170163,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Lifestyle,Book & Office Supplies,795
193917216,2165218156678,Monster #8 - Tập 4 - Bright Ver - Đặc Biệt,Lifestyle,Book & Office Supplies,774
193917212,4090847258407,Monster #8 - Tập 4 - Dark Ver - Đặc Biệt,Lifestyle,Book & Office Supplies,774
46240930,5867088230836,Rèn Luyện Tư Duy Phản Biện,Lifestyle,Book & Office Supplies,755
73787186,4451805413940,Những Tù Nhân Của Địa Lý,Lifestyle,Book & Office Supplies,737
52789368,6624824359331,Nhà Giả Kim (Tái Bản 2020),Lifestyle,Book & Office Supplies,713
75953558,3981544195117,Tâm Lý Học Về Tiền,Lifestyle,Book & Office Supplies,700
3679501,8836216508779,Bí Mật Của Phan Thiên Ân,Lifestyle,Book & Office Supplies,679
194960251,1302875796113,Haikyu!! - Chàng Khổng Lồ Tí Hon - Tập 45: Những Kẻ Thách Đấu,Lifestyle,Book & Office Supplies,616
167940011,6784939265125,Thao Túng Tâm Lý,Lifestyle,Book & Office Supplies,613
42230122,8105872042430,Hiểu Về Trái Tim (Tái Bản),Lifestyle,Book & Office Supplies,589
614857,2515874620677,Những Giấc Mơ Ở Hiệu Sách Morisaki,Lifestyle,Book & Office Supplies,553
194205611,8374784796315,Cherry Magic - Tập 2 - Bản đặc biệt,Lifestyle,Book & Office Supplies,525
157432545,8937200258241,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Lifestyle,Book & Office Supplies,522
111285063,7209066218492,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),Lifestyle,Book & Office Supplies,513
106185390,9559033067230,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh ,Lifestyle,Book & Office Supplies,510
117254521,5222628547911,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Lifestyle,Book & Office Supplies,503
1476939,2707336164304,Dám Bị Ghét,Lifestyle,Book & Office Supplies,490
194959175,8808235579265,Semantic Error – Lỗi Logic (Tập 2) - Bản Thông Thường,Lifestyle,Book & Office Supplies,456
173865571,4603621975283,Một Cuốn Sách Về Chủ Nghĩa Tối Giản (Tái bản 2022),Lifestyle,Book & Office Supplies,444
147920904,4317586775046,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Lifestyle,Book & Office Supplies,441
194959177,1248760066581,Semantic Error – Lỗi Logic (Tập 2) - Bản Đặc Biệt,Lifestyle,Book & Office Supplies,430
193778229,2018037985552,Bút nhớ Deli - Quà cho đơn 99k,Lifestyle,Book & Office Supplies,406
104612966,8239191308821,FLASHCARD SachID Moon,Lifestyle,Book & Office Supplies,398
162590069,8429888203727,Hạt  Giống Ớt Dragon's Toe - Ngón Chân của Rồng- Loại hạt giống - 2 hạt,Lifestyle,Home Living,393
7833729,6790661817447,Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),Lifestyle,Book & Office Supplies,382
10095277,6693741932118,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Lifestyle,Book & Office Supplies,374
143217516,1793967042645,Điềm Tĩnh Và Nóng Giận,Lifestyle,Book & Office Supplies,370
3955615,8234253186484,Yêu Những Điều Không Hoàn Hảo,Lifestyle,Book & Office Supplies,363
71594090,4227584840532,Thay Đổi Cuộc Sống Với Nhân Số Học,Lifestyle,Book & Office Supplies,355
54266568,1347818729174,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Lifestyle,Book & Office Supplies,350
75307229,2281336779503,OSHO - Yêu - Being In Love,Lifestyle,Book & Office Supplies,333
73633331,6605507480757,"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",Lifestyle,Book & Office Supplies,332
193988325,5815392463636,Sa Vào Ánh Hào Quang Của Người – Tập 2 - Bản Đặc Biệt,Lifestyle,Book & Office Supplies,327
57325188,9148368820975,Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),Lifestyle,Book & Office Supplies,325
26114400,9653795675482,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Lifestyle,Book & Office Supplies,323
106863965,3718408968985,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Lifestyle,Book & Office Supplies,320
107802184,5771954109656,Sức Mạnh Tiềm Thức (Tái Bản),Lifestyle,Book & Office Supplies,319
195960780,5041717669610,Vừa Tỉnh Dậy Thì Nghe Nói Tôi Kết Hôn Rồi Tập 1 + 2 - Bản Đặc Biệt,Lifestyle,Book & Office Supplies,317
117238178,3046122770204,Thư Viện Nửa Đêm,Lifestyle,Book & Office Supplies,315
71345382,3269115013238,Thay Đổi Cuộc Sống Với Nhân Số Học,Lifestyle,Book & Office Supplies,313
178093105,3846627421678,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2022),Lifestyle,Book & Office Supplies,309
192020870,8662356082995,Gậy Chiến Thuật Tam Khúc 60CM (UX 5.11),Lifestyle,Sport - Travel,309
53789449,7787977696957,"Bộ cây lau nhà tự vắt thông minh, chổi lau nhà 360 độ, lau sạch khô nhanh - Parroti Pro PR01",Lifestyle,Home Living,308
49459957,5940150894164,Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,Lifestyle,Book & Office Supplies,308
178093129,3285961426936,Sách Giáo Khoa Bộ Lớp 11 - Sách Bài Học (Bộ 14 Cuốn) (2022),Lifestyle,Book & Office Supplies,302
188695909,5064864114982,GIẬN (TBL22),Lifestyle,Book & Office Supplies,296
191920184,4764084438972,Cherry Magic - Tập 1 - Bản Đặc Biệt,Lifestyle,Book & Office Supplies,295
68585577,4103749033394,"Càng Kỷ Luật, Càng Tự Do",Lifestyle,Book & Office Supplies,294
3679503,8282859939584,Payback Time - Ngày Đòi Nợ,Lifestyle,Book & Office Supplies,290
113530807,8928093278897,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Lifestyle,Book & Office Supplies,288
8885996,8297872277278,Sự Im Lặng Của Bầy Cừu (Tái Bản),Lifestyle,Book & Office Supplies,284
40052043,4360762823405,Đọc Vị Bất Kỳ Ai (Tái Bản 2019),Lifestyle,Book & Office Supplies,283
52788073,3056634185207,Chiến Binh Cầu Vồng (Tái Bản 2020),Lifestyle,Book & Office Supplies,279
192124394,6369668977781,Ikigami - Tập 06,Lifestyle,Book & Office Supplies,277
72459687,8020227397709,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Lifestyle,Book & Office Supplies,273
88911710,8164216135577,Từ Tốt Đến Vĩ Đại (Tái bản 2021),Lifestyle,Book & Office Supplies,270
